parameter_id,parameter_name,parameter_description,chapter_id,chapter_citation,value,same_value_language_ids,value_language_count,language_count_total,count_ratio
87A,Order of Adjective and Noun,,87,Matthew S. Dryer. 2013. Order of Adjective and Noun. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/87),3,abi acn aco alw amm amt ata bac bbw bej bgn bgo bio bkl brs btk bua cam chg chs cmh cuc deg der djm djr dlm dul esm gah gim gmz grg grj gum han hil ite ito izi jam jug kac kan kla knk kpm krj kwt kyr laf lah lai lmu lun mak mam mch mcv mei men mik mir mmn mos mss nag nas ngi ngw nhn nke nmm nug nuu nyr obo oks pdp pnn pny pod rji ruk sal see shk son swt tac tag tar tis tiv tla tli tot tpn trr tru tuc tvt tzu uru wan wao yim yin ypk,110,76475,0.0014383786
83A,Order of Object and Verb,,83,Matthew S. Dryer. 2013. Order of Object and Verb. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/83),1,aar aba abk abn abo abv acn acu adg ady aga agm agt ain akh ala ale aly amb amc ame amh amn amp amt amx ana ang ano ao api apl apt apw arc arw asm ass asu ath atk atm ava awa awi awp awt awy aym aze azi baa bam bao baw bbw bdm bdw bej bel ben bgm bgn bho bhu bin bio biu bkb bkt bln blt blx bnj bnu boa bod bok bon boq bri brl brm brp brs bry bsk bsq bsr bti bua bun bur bus but bya bzi cah can car cas cay cbo cct cde chb chc chd che chg chh chi chk chn chp chs chv cln cml cmn cmr cnl coa cpn cpy cro cti ctm ctw cub cui cup dag dan daw dds der des deu dgr dha dhb dhm die dig dim diy dja dji djp dlm dmi dmk dms dni drg drm dul dum dun dyi edo eip eka emb eme ene epe ese eud eve evn fas foe for fqs ful fur gah gal gam gan gap gar gav gds geo ghb ghr gim gln gmw god gog gon goo grw gug guh guj gur guu gyc hai ham han har hay hhu hid hin hix hlp hma hmi ho hop hpd hua hui hum hzb iat iau idn idu iha ijo ika imo inn irq irx isa isi ite iwm jad jbt jin jiv jms jng joh jpn jrw jug jva jwr kaa kab kac kae kbo kbt kbu kem ket kew kgu kgy kha khd khg khl kho khr khw kie kim kio kiw kkp kkq kku klg kll klq klr klw kma kmb kmh kmk kmn kmo kmp kmr kms kmz knb knc knd kng knm knn kno knr knw knz koa kob kok kol kop kor koy kqq krc krd krh krn krr krw kry krz ksa kse kta kti kty kum kun kus kuu kuv kwb kwo kwt kwz kxo kya kyk kyn kyp kyr kyz lad laf lah lai lak lal lar lav lep lez lho lim lis lkt lmn lot lun mab mac mag mai man mar maw max mbo mde mdl mdn mei mek mem mer mey mgg mgh mgi mhi mii mij mik mil mis miz mka mke mkg mkh mki mkj mkl mku mlk mme mnc mne mni mnm mno mns mnv mny mog mom mot mpa mpt mqf mrc mrd mrh mri mrr mrs mru msc msg msl msn mto mts mtu mui mun muu myi mym myr nab nad nag naj nam nar nas nat nav nbd nbr ndj nep nev new nga ngg ngi ngj ngn ngt nis niv nkb nku nma nmb nmd nmm nnd nnk noc nog nph nsn ntj ntu nus nwd nya nyi nyk nze oir oks omh omi ong ord orh ori ork oro orw ory osa oss owi oya pae pan par paw pba pdp pia pir pis pit pme pmn pno pra prh prk prs psh pso ptt ptw pun qaf qaw qhu qim ral ram rao ras raw rem res ret rgc ria rik rmb rpa rum run rut rwa ryu sar sav sdw sel sem ser shb she shh shi shk sho sia sid sil sin skk sko skp skr skw sla slb slg sme smn sna sng snh snm snn snt sod som spi srb src srn sro sta stl sue suk sup sus svs syu tac taj tak tam tao tar tau taw tba tbl tbt tbu tce tdi tdr tel tgl tgr thk thn thu thy tib tig tir tis tja tkl tkm tlf tli tlo tls tma tmc tmg tml tmo tnb tnc tni tnn tny tod ton tou tpt trb trr trw tsf tsh tsz tte ttu tuc tul tun tur tuv tuy tvl tvo tvt twe tye uby udh udi udm uhi una ung urd urk urn uru usa usr ute uyg uzb vaf vai wag wah wai wak wao wap was wau way wbn wed wic wlw wly wme wmu wn wna woi wom wra wsk wtm xas xer xns yah yal yam yaq yar ybi yei yel ygr yi yid yim yko ykt ylm yqy ytu yuc yuk yus yuw zag zay zaz zim zun,712,76475,0.0093102325
143A,Order of Negative Morpheme and Verb,,143,Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/143),4,aar acu adi aly amc amp ang apl apt arc ath awe aze azi bio bln boa brh brn brr brs bsk bti but can car cas cay cbo cct cde chv cln cnm coa cpn cqt crp ctm cub dds des deu dig dim dio dms efi emb epe fua ful ga gah gal gar gim gln god gon grw har hid hix hmi hpd hum hzb idu ika ing irq irx jeb jiv jms jpn kab kac kas kay kbo kem kha khl kkp kmn kmo kmr knd knm knr knw koa kob kok koy krh kri kta kun kus kuv kwz lec lez map mee mei mhl mii mik mis mki mlg mnc mne mot mpt mrs msc msg msl mts mui mym mzc nbd ndt nep ngl ngn nis nku nmb noc noo nsn ntj omh oya pae pec pia pme prh prk psj ptw rao ret rit rum sba sdw sem shh shk sia sin smn sug syu tan tao tba tbu tel tir tlo tma tml tne ton tpt tsf tuc tul tun tur tuv tuy urn uyg uzb wai wao wap was wau wbn wly wra yam yar ykt ypk yrm yrr zag zay,202,76475,0.0026413861
93A,Position of Interrogative Phrases in Content Questions,,93,Matthew S. Dryer. 2013. Position of Interrogative Phrases in Content Questions. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/93),2,aab abk abu abv acl acn adg adi adz aeg ain akh akn ala alk all amb ame amh aml amn amq anc ani anj anu any ao aoj apl apt apw arc arg arj arm aro arp arq arw asm ass ata ath au ava awi awp awt aym aze azi bag bai bar baw bbl bej bem bfi bgn bgo bgr bho bhu bii bir bkl bkn bku ble blx bmb bnk bod boq bra brh brm brn brp bsh bsq bto bud bug bum bur bya cah cai cax cct chc chg chk chn chs chv chw cic cmh cml cmn cmr cnt cop crn cro cti cup cze dag dan dgr dha din dio dja djm dlm dmi dmk dms don doy dre drm dul dum dun dyi efi egn eip erk err ewe ewo fij foe fur fut fye gal gap gar gbb gbs gdb geo ggu giz gmw goe gok gon grw gua gug guh guj gum gur guu gwa gyc hak ham hat haw heh hin hlp hma hmo hna hoa hop hua huc hui hum hun hup hya iau idu ifm igb ige igs ijo ina irq irr isa ite iwm izi jab jar jel jin jmo jms jng jpn jug juh juk jva kab kac kae kan kar kas kau kay kba kbw kel ker ket kew kgy kha khg khi khm khn khr khs kik kil kin kir kiw kkp kkt kkv klq kmb kmh kmj kmk kmn kmo kmz knc knd kni knk knn kob kol kor kos kqq krb krc krd kre kro krr krw ksg ksm ksn kta kty kum kun kuo kuu kuv kwo kwt kyk kyl kyr laa lab lad lag lah lai lal lan lao lav lbu lda ldu lel len lep lew lez lgt lho lim lin lis lkt lmb lmh lmn lmp lnd lon lot loz lug lun luo luv maa mab mad mag maj man mao map mas maw may mba mbi mbm mby mdl mea mee mei mer mey mga mgu mhi mie mik mis miz mka mkd mkg mlg mmw mna mnd mng mnm mns mon moo mor mou mpa mpt mpu mrg mrl mro mru msg msl mtu mum mun mup mus myi mym nad nag naj nam nan nas nav nax nbd nbm nbr ncm ndb ndi ndj ndo ndt ndu nep new ngb ngd ngk ngm ngn ngo ngt ngz nha nif nis niu niv nke nkn nko nma nnd nnk noc non noo nph ntj nua nue nun nwd nyk nza nze obg obo olo omi one ood orh oro orw osa owi oya paa pal pan par pat paw pdp per pkt plg pms pok pra pre prh prk prs psh pso pul pum pun qhu ram rao raw rem rji rny ron rot ruk rum rwa ryu sah sak sam san sap sar sav sdw sed sem ser sgb she shk shl shn sho sid sio skk sko skp skw sla slb sle slg sme sna sng snm snn snt sob som son spi sre sro sti stl sue suk sul sun svs swa syu tab tah tam tao tas tau tbl tbt tbw tel ten ter tet tgk tgl tgr tha thk thy tid tin tja tke tki tml tmo tna tnc tng tnn tny tou toz trb trm trw tsh tsi tsn ttn ttu tul tur tvt twe udh uhi una ung urd urt uru usa uzb vai vie vnm wah wak wal wap wat wbn wed wma wme wmu wol wom wrd wrg wsk wwa xas xbi xho xoo yal yaq yar ygr yid yko yns ytu yuc yur zan zaz zhn zul zzo,615,76475,0.008041844
85A,Order of Adposition and Noun Phrase,,85,Matthew S. Dryer. 2013. Order of Adposition and Noun Phrase. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/85),1,aar aba abk acg acn aco adg adi adk adn ady agm ain ajg akh ala aly amb amc ame amk amp amt ana ang ao api apl apt apu ara arc arm arw asu atk ava avo awe awp awt aym baa bac bae bam bao baw bbf bej bgs bho bil bin bkb ble bln blt blx boa bok bon brh bri brm brs bry bsk bsq bti bua bur bus but bya bzi cah cai cam car cas cav cbo cct cde chc che chg chi chk chn chp chs chv cln cmh cmn cmr cnl cnm coc coo cor cti ctm ctw cub cup dag dan daw dds der des dga dgb dgr dhm die dig dim dji dlm dmi dmk dms dni drg drm dul dun edo eip emb eme emm ene epe ese est eud eve evn ewe fas fin for fqs ful fur gaa gam gan gap gar gav geo ghb gim gjj gln gmw gnn gon grb grj grw gua guj gur gyc hai ham han hay hhu hid hin hix hlp hma ho hop hpd hua hum hun hup hzb iau idn idu ika imo ina ing inn iqu jbt jel jin jms jng joh jpn jug juh jva kaa kab kac kas kbo kbt kch kem ket kew kgy kgz kha khd khl kho khr khw kie kim kir kiw kje kkp kkq kku kll klm klq klr kma kmb kmh kmk kmn kmo kms kmw kmz knb knc knd kng knm knn knr knz koa kob kok kol kop kor kpo krc krh krj krk krn kry ksa kse kti kty kum kun kus kuv kwb kwo kws kwt kxo kyk kyn kyr kyz kzy lad lah lai lak lal lar lav ldu lep lez lgt lho lis lkt llm lmn lot lug lui lun mab mac mad mag mai maj man mar maw max mbo mcc mde mdl mdn mei mek mey mgg mgh mgi mhi mik mis miz mka mke mkg mkj mkl mku mme mnc mnm mno mns mnv moe mom mou mpr mpt mqf mrd mrh mri mru msg msn mtu mun muu myr mzn nab nad nag nam nar nas nat nav nbd nbr ndj nep nev new ngg ngk nis niv nkn nnd nnk noc nph nti ntj ntu nwd nyi nze oks omi orh ork oro orw ory osa oss owi pae pan pau paw pdp pis pit pmn pnx pra prh prk psh pso ptt ptw pum pun puq qaf qaw qhu qia qim ram raw rem res ret rik rum run rut ryu sar sav sba sdw sel sem ser shb she shh shi shk shy sid skk sko skw sla slb sle slp sme smn sna sng snh snm sno snt sor src srn sro sta stl sue sup sus svs syu tac tak tam tar tau tbl tbt tbu tbx tce tel tgl thd thn thu tir tja tkl tkm tlf tli tls tml tmo tnc tny ton tou tpn tps trb trm tru trw tsf tsm tsr tsz tte tts ttu tuc tul tun tur tuv tuy tvo tvt uby udh udm una ung urd urk urn usa ute vai wah wai wal wao was wat way wbn wir wme wna wor wra wrd wry wsk wtm xas xav xns yag yah yal yaq yar ycn yei yel ygr yi yim yiw yko ykt ylm yqy ytu yuc zag zar zaz zch zun,577,76475,0.007544949
88A,Order of Demonstrative and Noun,,88,Matthew S. Dryer. 2013. Order of Demonstrative and Noun. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/88),5,bej bgo cai cmr cmy hdi hma lai mal mhl mil miz nis trm tsh zan,17,76475,0.00022229487
69A,Position of Tense-Aspect Affixes,,69,Matthew S. Dryer. 2013. Position of Tense-Aspect Affixes. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/69),2,aar abi abk abn abv acg acm aco acu adn aga agm agt ain ala alb alc ale alw aly amb amc ame amn amp amx ana ani ann ao apl apt apu ara arc arm arw asm ass ath atk ava avo awa awe awi awp awt aym aze azi baa bac bae bam bao baq bau bco bdm bej bel ber bgn bho bii bil bin bio bkb bkr bln blt blx bmb bmr bnj bnr bnu bod boi bre brh bri brm brn brr brs bry bsk bua bul bun bur but bya bzi cah car cas cax cay cba cbo cct cde chb chc che chg chi chn chv chx cld cln cmh cmn cmy cnm cnt coa coo cos cpy crn crp ctm cub cui cup dag dan daw der des deu dgo dgr dhb dhm dhr dhw dig dim diy dja dji djm djn djp djr dlm dmi dmk dms dni dom drm dsh duk dun dut dyi eip eka emb eme ene eng epe ese est eud eve evn fas fin for fqs fre fua fur fye gaa gah gal gan gar gbb gds geo ger ggu gid gim gln gnn goa gog gon grb grf grj grk grr grs grw gud gug guh guj gum gur guu hai hak hal har hay hin hix hlp hmi ho hop hpd hua hui hum hun hzb iat ice igb ign igs iha ijo ik ika imo ina ind ing inn iqu irx ita ite iwa jam jaq jeb jiv jpn jva jwr kac kar kay kbo kbu kem ker kew kfe kgu kgz kha khg khi khl kio kiw kkp kku klm klq kma kmb kmh kmj kmk kmn kmo kmp kms knb knc knd kni knk knm knn knr knw kob koe kok kol kop kor koy krc krh kri krj krk krw ksa kta kti ktl kty kum kus kuu kuv kwk kwo kwt kwz kya kyk kyq kyz lac lad lav ldu lec lep lez lho lim lit lkt lmn lng lot lui lun mab mac mag mak map mar mau mbt mcd mco mcv mde mdm mdn mdo mee mei mem mgg mgi mhi mhk mij mik mis mkg mkh mkr mme mmi mnc mnd mne mni mnm mno mns mny moe mog mom moo mos mot mou mpr mpt mqf mra mrh mri mrr mrs mrt mrw msc msg msl mss mtk mts mui mun mut nab nag nah nar nas nbd nbr nca ndo ndt nep nev new nez nga ngi ngj ngl ngn ngt ngw ngz nha nhh nhm nhn nht nis niv nkb nmb nmd noc nog non nor nph nsn nti ntj ntu nug nwd nyi nze oks olo omh omi one ong ood ord orh ork oro orw osa oss oya paa pae pan pau paw pba pdp pga pia pip pir pis pkn plk pme pno pny pol por ppi prh prk psh pso ptw pum pur pwn qaw qhu qim ram rao raw rem res ret rit rmb rom rot rum run rwa rwe sav sba sdw sem shd she shh shi shk sho shp shy sia sid sin siu skp skr slb slg slp sme smn sna snh sno snt som spa srd srn sro sta stl sue sug suk sus svs swe syu tac tam tan tao tau tba tbl tbu tbx tce tel tgl thn thu thy tir tja tkl tma tmc tmg tml tmo tnn tny tob ton tpn tps tpt trb trr tru trw tsf tsh tte ttu tuc tun tur tuv tvo tvt twe twn uby udi udm uhi ukr una urd usa usr ute uyg uzb wah wai wak wam wao wap was wat wau way wbn wch wel wem wik win wir wly wmu wog wra wrb wrg wrk wrn wsk wtm yag yah yal yaq yar ycn yid yim yin yko ykt ylm yng yok ypk yrm ytu yuc yuw ywl yyg zay zch zpr zqc zqo zqs zun,667,76475,0.008721804
95A,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,,95,Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/95),1,aar aba abk acn adg ady agm ain akh ala aly amb amc ame amp amt ana ang ao api apl apt arc arw asu atk ava awp awt aym baa bam bao baw bej bho bin bkb bln blt blx boa bok bon bri brm brs bry bsk bsq bti bua bur bus but bya bzi cah car cas cbo cct cde chc che chg chi chk chn chp chs chv cln cmn cmr cnl cti ctm ctw cub cup dag dan daw dds der des dgr dhm die dig dim dji dlm dmi dmk dms dni drg drm dul dun edo eip emb eme ene epe ese eud eve evn fas for fqs ful fur gam gan gap gar gav geo ghb gim gln gmw gon grw guj gur gyc hai ham han hay hhu hid hin hix hlp hma ho hop hpd hua hum hzb iau idn idu ika imo inn jbt jin jms jng joh jpn jug jva kaa kab kac kbo kbt kem ket kew kgy kha khd khl kho khr khw kie kim kiw kkp kkq kku kll klq klr kma kmb kmh kmk kmn kmo kms kmz knb knc knd kng knm knn knr knz koa kob kok kol kop kor krc krh krn kry ksa kse kti kty kum kun kus kuv kwb kwo kwt kxo kyk kyn kyr kyz lad lah lai lak lal lar lav lep lez lho lis lkt lmn lot lun mab mac mag mai man mar maw max mbo mde mdl mdn mei mek mey mgg mgh mgi mhi mik mis miz mka mke mkg mkj mkl mku mme mnc mnm mno mns mnv mom mpt mqf mrd mrh mri mru msg msn mtu mun muu myr nab nad nag nam nar nas nat nav nbd nbr ndj nep nev new ngg nis niv nnd nnk noc nph ntj ntu nwd nyi nze oks omi orh ork oro orw ory osa oss owi pae pan paw pdp pis pit pmn pra prh prk psh pso ptt ptw pun qaf qaw qhu qim ram raw rem res ret rik rum run rut ryu sar sav sdw sel sem ser shb she shh shi shk sid skk sko skw sla slb sme smn sna sng snh snm snt src srn sro sta stl sue sup sus svs syu tac tak tam tar tau tbl tbt tbu tce tel tgl thn thu tir tja tkl tkm tlf tli tls tml tmo tnc tny ton tou trb trw tsf tsz tte ttu tuc tul tun tur tuv tuy tvo tvt uby udh udm una ung urd urk urn usa ute vai wah wai wao was way wbn wme wna wra wsk wtm xas xns yah yal yaq yar yei yel ygr yi yim yko ykt ylm yqy ytu yuc zag zaz zun,472,76475,0.0061719515
143F,Postverbal Negative Morphemes,,143,Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/143),2,aar abk aco acu adi aeg aly amb amc ame amh amn amp amr amx ana ang ao apl apt apw arc asu ath awe aze azi bel bio bln boa boi brh brn brr brs bsk bti but can car cas cay cbo cct cde chi chv cln cmh cml cnm coa cpn cqt crp ctm cub cui dds des deu dha dig dim dio dmi dms dom efi eko emb eme epe eve evn fua ful fur ga gah gal gar gim gln gnb god gon grw gug guh hai har hid hix hmi hpd hum hzb idu ika ina ing irq irx ite izi jeb jiv jms jpn kab kac kas kay kbo kem kha khg khl kio kiw kkp klg kll kma kmb kmn kmo kmr knd knm knr knw koa kob koe kok koy krh kri krk krw kry kta kun kus kuv kwo kwz kyz lad lec lep lez lho lim lng map mar mbl mdn mee mei men mga mhl mii mik mis mki mkz mlg mnc mne mom mot mpt mrs msc msg msl mts mui mwo mym mzc nbd ndb ndt nep ngl ngn nis nke nku nmb noc noo nph nsn ntj omh oro orw oya pae pau pec pia pkt pme prh prk psj psm pso ptw pum ram rao ret rit rum run sar sba sdw sem shh shk sia sin siu skm smn stn sub sug swt syu tan tao tar tba tbt tbu tel thu tig tir tlo tma tml tmn tnc tne ton tpt trm tsf tsh tte tuc tul tun tur tuv tuy uby urn ute uyg uzb vnm wai wao wap was wat wau way wbn wch win wiy wlf wly woi wra wrk wrn yam yar ykt ypk yqy yrm yrr yuk zag zay zch zpr zul zun,307,76475,0.004014384
143G,Minor morphological means of signaling negation,,143,Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/143),4,aab aar aba abi abk abn abu abv ace acg acl acm aco acu adg adi adz aeg agb agc agd agh agm ain aja ajg akh akn ala alb alk all aln als alw aly amb amc ame amh aml amn amo amp amq amr ams amt amx ana anc ane ang ani anj ann anu any ao aoj apl apt apu apw ara arc arg arj arm aro arp arq arw asm ass asu asy ata ath au ava awa awe awp awt aym aze azi baa bab bac bae baf bag bai baj bak bam bao baq bar bas baw bbf bbl bbu bbw bch bco bdm bej bel ben ber bfg bgn bgo bgr bho bia bid big bii bik bil bio bir biu bka bkr bku bla bln blr blt blx blz bmb bmz bni bnn bnu boa bob bod boi bok bol bra bre brf brh bri brl brm brn brp brr brs bsh bsk bsq bti btk bto bua bud bug bul bum bun bur bus but buw buy bvi bwc bya bzi cah cai cak cam can car cas cax cay cba cbo ccm cct cde cea cem cga cha chb chc chd che chg chh chi chj chk chn chp chq chr chs chv chw chx cic ckl cle cln cmh cml cmn cmr cmy cnl cnm cnt coa coc coo cop cos cpl cpn cpy cqt cre crn crp crt cso cti ctl ctm cub cui cup cya cyv cze dag dan dds des deu dga dgb dgo dgr dha dhi dhm dhw did die dig dim din dio diy dja dji djm djn djp dma dmi dmk dms dni dom dre drm dsh dua duk dul dum dun dut dyi ebi efi ega eip eka eko emb eme ene eng eno eny epe erk err ese est eud eve evn ewe fij fin fon fre fua ful fur fut fye ga gaa gae gah gal gap gar gav gbb gbs gds gel geo ger ggu ghr gim gir giz gjj gku gla gln gmw gmz gnb goa god goe gok gon goo grb grf grj grk grr grs grw gua gud gug guh guj gul gur guu gwa gwo gyc hai hak hal ham han har hat hau haw hay hdi heb heh hei hid hil hin hix hlp hlu hma hmi hmo hna hnd hoa hol hop hpd htc hua huc hui hum hun hup hve hya hzb iaa iau iba ice idn ido idu ifm ifu ige ign igs ijo ik ika ila imo ina ind ing inn iqu iri irq irr irx isa ita ite iwm izi jab jak jaq jar jeb jiv jlu jmo jms jng joh jpn juh juk kaa kab kac kad kae kan kar kas kau kay kba kbl kbo kbw kby kch kdw kdz kel kem ken ker ket kew kfe kga kgr kgy kha khd khg khl khm khn kho khr khs kie kik kil kim kin kio kir kiw kkp kkt kkv kla klg kll klm kls klv klw kma kmb kmh kmi kmj kmk kmn kmo kmp kmr kms kmu kmw kmz knb knc knd kng kni knk knm knn knr knw knz koa kob koe koi kok kol kom kon kop kor kos koy kpw krb krc krd kre krh kri krj krk krn kro krr krw kry ksa kse ksg ksn kta ktc kti ktl kty kum kun kuo kus kut kuv kwa kwb kwn kwo kws kwt kwy kwz kxo kya kyl kyp kyq kyr kyz kzy laa lab lac lad lag lah lai lal lan lao lar lat lav lbu lda ldo ldu leb lec leg lel len lep les let lew lez lgi lgt lgu lho lic lim lin lis lit lkt llm lmg lmh lmn lmp lmu lnd lng lon lot lou luc lug lui luo luv ma maa mab mac mad mae mag mai maj mak mal mam man mao map mar mas mau maw may mba mbe mbi mbl mbm mbr mbt mby mcd mch mco mcv mda mde mdg mdl mdm mdn mdo mdw mea mee meh mei mek men mer mga mgg mgi mgk mgu mhi mhl mhu mie mig mii mik min mir mis miy miz mka mkd mke mkg mkh mki mkj mkl mku mkz mlg mlk mlu mmb mme mmn mmv mmw mna mnc mnd mne mni mnm mno mns mnt mny moe mog moh mok mom mon moo mor mos mot mou mov mpa mpo mpt mpu mra mrd mrg mrh mri mrl mro mrq mrr mrs mrt mru mrw msc msg msk msl msm msn msq mss mtb mts mtu mua mug mui mum mun mup mur mus mut mwb mwe mwo mxc mxe mxj mxo mxp mxx myg myi mym mzc nab nad nag nah naj nak nal nam nan nar nas nav nax nbd nbm nbr nca ncm ndb nde ndj ndo ndr ndt ndu ndy neh nep nev new nez nga ngd ngi ngj ngk ngl ngm ngn ngo ngt ngu ngw ngz nha nhh nhm nht nia nif nis niu niv nke nkk nkn nko nku nma nmb nmm nne nnk noc non noo nor nph nrg nse nsg nsn nti ntj nto ntu nua nue nug nun nup nyh nyi nyk nym nyn nyr nyu nza nze obg obo ocu oir oji oks olo omh omi ond one ong ono ood ori ork oro orw osa oss otm otr oya paa pae pai pal pan par pat pau paw pba pec per pga pia pip pis pit pkn pkt plg plh pme pms png pnn pno pnu pod pog poh pol por ppi pra pre prh prk prs psh psj psm pso psw ptt ptw pul pum pun pur pwn qaw qhu qia qim qui qum rag ram rao rap ras raw rem res ret rgc rik rim rit rnd rny rom ron rot rov rpa rru rsu ruk rum run rus rwa rwe sah sak sal sam san sap sar saw sba scr sdw sed see sel sem ser ses sgb sgl sgu shb she shh shi shk shl shm shn shp sht shu shy sia sid sil sin sio sir sis siu skk skm skw sla slb slo sme sml smn sna sng snm snn sno snt so sob sod som son sor spa squ srb src srd sre sro ssa sta sti stl stn sub sud sue sug sul sun sup svs swa swe swt syu tab tac taf tag tah taj tak tal tam tan tao tar tas tau taw tba tbo tbt tbu tbw tbx tce tdr tee tel ten teo tep ter tes tet tgh tgk tgl tgo tgr tha thn tho thu thy tib tid tig tim tin tir tis tiv tiw tja tke tki tkl tla tli tlo tlp tma tml tmm tmn tmo tmr tna tnc tne tng tnn tno tny tob tod tol ton tou toz tpa tpn tpr tpt trb tri trm trr tru tsf tsg tsh tsi tsn tsz tte ttn tts ttu tuc tuk tul tun tur tus tuv tuy tvl twe twn tye tzo tzu uby udh udi udm ukr uld uli una ung urd urk url urn urt uru usa usr ute uyg uzb vai ven vie vnm wag wah wai wak wal wam wao wap war was wat wau way wbn wch wec wed wel wem wic wik win wiy wlf wlm wlw wly wma wme wmu wna woi wol wom wor wra wrb wrd wrg wrk wrl wrm wrn wsk wtm wya xam xar xav xbi xho xns yag yam yao yap yaq yar ybi yei ygr yi yid yim yin yiw yko ykt ylm yng yok yor ypk yqy yrm yrr ytu yuc yuk yul yur yuw ywl ywr zag zai zan zap zar zay zaz zch zpr zqc zqo zqs zul zun zzo,1315,76475,0.017195161
97A,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,,97,Matthew S. Dryer. 2013. Relationship between the Order of Object and Verb and the Order of Adjective and Noun. In: Dryer; Matthew S. & Haspelmath; Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/97),5,abi ace acn aco adn ajg alw amm amt ani any apu arm ata avo bac bbw bej bgn bgo bio bkl blr bnb brs btk bua cai cam cav cct chg chs cmh coo cuc dam ddj deg der dgo dhr die din djm djn djr dlm dul dut emm esm fri gah ger ggu gid gim git gmz gnn grg grj gum gwa han hil hup ido ina ite ito izi jam jeb jug kac kan kay kis kkw kla klm kmw knk kpm krj krk kut kws kwt kyr laf lah lai ldu lec les lgt lml lmu lug lui lun mad mak mam mch mcv mei men mik min mir mmn moa moh mos mou mra mrw mss mtt mxx mzh nag nas ney nez ngi ngk ngl ngw nha nhn nke nmm nti nue nug nuu nyr obo oks pau pdp pnn pnx pny pod pok ppi rit rji ruk sal see ser shk snc son swt tac tag tar tic tik tis tiv tja tla tli tot tpn trr tru tuc tus tvt twn tzu uru wan wao wik win wiy wrd wrg wrl wrw yim yin ypk yur ywr zar,198,76475,0.0025890814
